,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hofn,64.2539,-15.2082,46.42,53,20,19.57,IS,1665073767
1,Abu Samrah,35.3029,37.1841,79.47,26,0,5.3,SY,1665073769
2,Punta Arenas,-53.15,-70.9167,44.71,57,75,17.27,CL,1665073772
3,Tasiilaq,65.6145,-37.6368,42.96,72,91,2.17,GL,1665073773
4,Ciudad Bolivar,8.1222,-63.5497,83.48,68,100,4.16,VE,1665073775
5,Ushuaia,-54.8,-68.3,46.02,57,75,8.05,AR,1665073777
6,Hermanus,-34.4187,19.2345,58.8,81,78,15.82,ZA,1665073778
7,Bambous Virieux,-20.3428,57.7575,72.21,73,75,10.36,MU,1665073780
8,Bredasdorp,-34.5322,20.0403,61.81,70,100,17.56,ZA,1665073781
9,Rapid Valley,44.0625,-103.1463,44.6,95,100,12.66,US,1665073782
10,Kaitangata,-46.2817,169.8464,41.27,78,96,9.1,NZ,1665073785
11,Zhmerynka,49.037,28.112,56.12,69,59,8.05,UA,1665073787
12,Chokurdakh,70.6333,147.9167,20.73,91,96,14.94,RU,1665073788
13,Puerto Ayora,-0.7393,-90.3518,71.56,88,88,5.01,EC,1665073789
14,East London,-33.0153,27.9116,63.54,77,0,9.22,ZA,1665073791
15,Nantucket,41.2835,-70.0995,64.54,95,100,12.66,US,1665073792
16,Albany,42.6001,-73.9662,69.57,65,8,2.82,US,1665073794
17,Alappuzha,9.49,76.3264,79.0,82,100,8.57,IN,1665073795
18,Port Elizabeth,-33.918,25.5701,64.09,73,0,14.97,ZA,1665073796
19,Letterkenny,54.95,-7.7333,58.89,92,100,15.7,IE,1665073562
20,Houston,29.7633,-95.3633,84.94,62,0,6.91,US,1665073602
21,Dikson,73.5069,80.5464,31.82,99,100,22.66,RU,1665073801
22,Busselton,-33.65,115.3333,51.82,70,99,4.7,AU,1665073802
23,Wattegama,6.7989,81.4808,76.46,81,100,2.39,LK,1665073806
24,Bengkulu,-3.8004,102.2655,73.0,93,100,10.67,ID,1665073808
25,Rikitea,-23.1203,-134.9692,69.53,69,90,22.26,PF,1665073809
26,Portland,45.5234,-122.6762,61.45,93,100,4.61,US,1665073682
27,Karpogory,64.0019,44.4451,47.53,81,95,11.59,RU,1665073812
28,Tshane,-24.0196,21.8684,87.62,11,26,8.39,BW,1665073815
29,Cidreira,-30.1811,-50.2056,63.28,96,100,19.46,BR,1665073816
30,Saskylakh,71.9167,114.0833,17.13,91,100,15.35,RU,1665073818
31,Ketchikan,55.3422,-131.6461,52.27,100,100,11.5,US,1665073819
32,Jamestown,42.097,-79.2353,66.52,46,75,6.91,US,1665073821
33,Atuona,-9.8,-139.0333,76.53,76,71,23.94,PF,1665073822
34,Bluff,-46.6,168.3333,43.81,69,33,6.46,NZ,1665073824
35,Port Alfred,-33.5906,26.891,61.18,78,100,1.01,ZA,1665073825
36,Taoudenni,22.6783,-3.9836,108.54,8,12,3.8,ML,1665073826
37,Mgandu,-5.95,34.1333,72.77,24,16,6.44,TZ,1665073828
38,George Town,5.4112,100.3354,81.23,87,40,3.44,MY,1665073585
39,Mt. Pleasant,32.7941,-79.8626,79.99,50,0,4.61,US,1665073830
40,Sabha,27.0377,14.4283,79.07,33,0,10.71,LY,1665073833
41,Merauke,-8.4667,140.3333,78.85,88,99,13.13,ID,1665073834
42,Saint-Augustin,51.226,-58.6502,59.41,63,10,18.5,CA,1665073835
43,Longyearbyen,78.2186,15.6401,37.24,75,75,19.57,SJ,1665073837
44,Poum,-20.2333,164.0167,74.39,67,66,11.32,NC,1665073838
45,Salalah,17.0151,54.0924,78.89,89,40,5.75,OM,1665073840
46,Upington,-28.4478,21.2561,84.58,6,0,9.22,ZA,1665073831
47,Lima,-12.0432,-77.0282,61.05,72,100,4.61,PE,1665073842
48,Iguape,-24.7081,-47.5553,74.79,77,97,11.36,BR,1665073843
49,Mar del Plata,-38.0023,-57.5575,62.94,82,75,6.91,AR,1665073845
50,Gizo Government Station,-8.103,156.8419,81.3,71,100,4.97,SB,1665073846
51,Lieksa,63.3167,30.0167,49.19,83,100,15.82,FI,1665073847
52,Bethel,41.3712,-73.414,72.41,60,0,1.01,US,1665073849
53,Hobart,-42.8794,147.3294,57.06,88,100,11.5,AU,1665073850
54,Hasaki,35.7333,140.8333,54.28,80,100,18.25,JP,1665073851
55,Smithers,54.7804,-127.1743,44.92,100,100,2.3,CA,1665073854
56,Saint Paul Harbor,57.79,-152.4072,51.31,87,100,9.22,US,1665073856
57,Mataura,-46.1927,168.8643,43.48,84,81,2.46,NZ,1665073858
58,Pāsighāt,28.0667,95.3333,74.1,94,98,2.39,IN,1665073860
59,Moose Factory,51.2585,-80.6094,44.6,65,100,12.66,CA,1665073782
60,Hithadhoo,-0.6,73.0833,81.36,78,21,18.45,MV,1665073863
61,Lebu,-37.6167,-73.65,52.92,95,100,9.71,CL,1665073864
62,Dingle,10.9995,122.6711,76.17,91,100,6.69,PH,1665073866
63,Padang,-0.9492,100.3543,73.45,92,100,6.13,ID,1665073867
64,Kahului,20.8947,-156.47,78.82,78,40,6.91,US,1665073869
65,Tuktoyaktuk,69.4541,-133.0374,32.0,100,100,18.41,CA,1665073871
66,Dubbo,-32.25,148.6167,57.33,94,100,8.05,AU,1665073872
67,Blagoyevo,63.3667,47.9167,45.0,94,98,6.76,RU,1665073874
68,Soe,-9.8607,124.284,67.75,90,74,3.33,ID,1665073876
69,Avarua,-21.2078,-159.775,73.45,73,42,14.97,CK,1665073877
70,Faanui,-16.4833,-151.75,77.86,77,45,27.0,PF,1665073879
71,New Norfolk,-42.7826,147.0587,56.7,77,100,1.25,AU,1665073882
72,Nikolskoye,59.7035,30.7861,55.29,77,97,15.32,RU,1665073883
