City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,tasiilaq,65.61,-37.64,28.4,79,100,27.51,GL,1580007324
1,bryan,30.67,-96.37,61.0,77,90,4.7,US,1580007478
2,ushuaia,-54.8,-68.3,46.4,75,75,23.04,AR,1580007289
3,noumea,-22.28,166.46,91.4,49,75,14.99,NC,1580006898
4,jamestown,42.1,-79.24,33.8,97,90,6.93,US,1580007205
5,minab,27.15,57.08,48.2,100,40,4.7,IR,1580007479
6,thunder bay,48.4,-89.32,30.99,80,90,3.36,CA,1580007356
7,matamoros,25.53,-103.25,64.4,52,75,7.99,MX,1580007480
8,cameron park,38.67,-120.99,57.2,93,90,3.62,US,1580007480
9,la ronge,55.1,-105.28,23.0,92,90,6.93,CA,1580007480
10,barrow,71.29,-156.79,-20.2,75,75,9.17,US,1580007193
11,hobart,-42.88,147.33,72.0,35,40,18.34,AU,1580007437
12,hovd,48.01,91.64,9.9,55,100,1.63,MN,1580007363
13,mataura,-46.19,168.86,77.65,58,64,0.58,NZ,1580007481
14,ginda,30.69,78.49,43.03,41,0,4.29,IN,1580007481
15,aleksandrov gay,50.15,48.57,33.85,83,98,24.94,RU,1580007482
16,ossora,59.24,163.07,32.81,87,100,30.65,RU,1580007402
17,yellowknife,62.46,-114.35,10.4,85,90,6.93,CA,1580007264
18,olafsvik,64.89,-23.71,31.23,82,77,15.55,IS,1580007364
19,puri,19.8,85.85,66.2,82,0,4.18,IN,1580007482
20,hartselle,34.44,-86.94,36.0,87,1,2.93,US,1580007483
21,lorengau,-2.02,147.27,84.22,71,85,6.04,PG,1580007483
22,tual,-5.67,132.75,85.28,66,100,9.6,ID,1580007483
23,mago,53.25,140.18,-12.46,84,0,4.65,RU,1580007483
24,cape town,-33.93,18.42,60.01,87,75,2.24,ZA,1580007483
25,nome,64.5,-165.41,-16.6,82,1,8.72,US,1580007484
26,sao filipe,14.9,-24.5,73.94,63,21,18.75,CV,1580007355
27,chuy,-33.7,-53.46,65.59,80,3,5.46,UY,1580007191
28,saskylakh,71.92,114.08,-20.51,93,99,16.46,RU,1580007484
29,puerto ayora,-0.74,-90.35,77.0,34,54,1.01,EC,1580007484
